L	H
19	161
255	87
226	9
50	74
130	181
86	122
179	21
75	140
263	38
231	25
205	118
65	200
133	33
276	35
82	194
196	168
123	252
135	266
215	72
115	112
4	20
228	271
221	246
5	45
107	157
59	100
148	220
18	63
253	272
227	259
153	242
6	54
110	170
260	277
22	70
149	239
71	155
136	187
166	244
69	151
232	120
176	167
29	129
174	229
241	17
203	138
64	201
206	202
134	145
94	270
188	23
261	88
109	96
128	41
257	195
235	233
273	66
281	278
172	267
177	213
208	279
258	223
171	101
68	83
139	264
2	78
247	234
91	12
89	117
121	175
10	238
209	106
40	137
27	162
98	24
127	44
28	56
39	31
186	169
146	243
190	34
150	274
248	250
49	217
90	275
124	230
164	62
48	93
142	211
216	116
1	103
236	182
180	67
154	76
185	173
8	3
256	199
43	104
11	114
183	80
204	131
13	15
14	47
265	51
225	16
245	192
280	36
85	189
178	193
198	156
237	249
46	163
7	53
159	254
144	240
26	57
92	125
52	108
102	184
32	73
207	262
147	251
126	219
30	61
95	152
218	269
37	81
119	212
84	113
97	165
143	224
210	268
79	111
