L	H
50	205
252	181
75	35
161	135
38	200
215	168
72	115
263	42
123	25
33	197
196	82
19	86
276	21
266	140
133	9
231	141
130	255
194	226
179	112
74	87
59	20
242	246
71	100
166	149
45	18
227	228
63	54
253	260
107	110
22	6
220	221
5	4
272	277
259	271
153	148
239	244
151	136
187	157
170	155
69	70
206	191
203	167
214	223
109	41
258	267
177	132
232	229
233	235
129	66
96	29
241	257
171	99
172	101
261	270
88	23
213	202
64	17
208	195
281	279
273	278
176	128
174	120
201	138
188	134
145	94
190	121
150	91
175	137
40	31
238	247
127	68
209	186
230	217
48	34
27	28
234	222
83	44
162	160
98	90
243	56
24	250
169	12
10	106
164	2
274	93
248	275
124	264
117	62
146	60
139	89
49	78
199	158
178	131
198	163
16	15
237	211
116	80
204	189
225	192
46	36
11	14
236	193
67	47
182	180
77	104
245	55
3	216
185	13
1	156
183	8
280	154
256	265
114	249
105	76
173	58
142	103
51	85
165	224
119	125
37	61
210	262
207	251
159	219
184	240
53	92
32	57
79	102
81	108
30	52
152	212
26	7
254	269
218	268
97	113
84	111
144	147
126	143
73	95
